"Store_Name","Longitude","Latitude","Address","Address Line #2","City","State","Zip5","Zip4","County"
"Ferris Food Market Inc","-73.7752","41.040344","142 Ferris Ave","","White Plains","NY","10603","3445","WESTCHESTER"
"Dearborn Grocery Inc.","-73.589203","40.678654","241 Nassau Road","","Roosevelt","NY","11575","","NASSAU"
"99 CENT SEA INC.","-73.923347","40.664627","1100 Rutland Rd","","Brooklyn","NY","11212","3646","KINGS"
"7-Eleven #33094A","-73.73732","40.628723","480 Rockaway Tpke","","Lawrence","NY","11559","","NASSAU"
"7-Eleven #33566A","-73.642639","40.639275","65 Atlantic Ave","","Oceanside","NY","11572","2038","NASSAU"
"7-Eleven #16299","-73.052788","40.888035","355 Boyle Rd","","Selden","NY","11784","1240","SUFFOLK"
"7-Eleven #29086A","-73.709167","40.672733","190 N Central Ave","","Valley Stream","NY","11580","3102","NASSAU"
"7-Eleven #11233","-73.09874","40.891762","311 Pond Path","","East Setauket","NY","11733","1003","SUFFOLK"
"Kosher Food Center LLC","-73.990562","40.636562","4604 13th Ave","","Brooklyn","NY","11219","2630","KINGS"
"CONNIE'S DELI & FOOD INC","-73.884758","40.87421","240 E 204th St","","Bronx","NY","10458","1309","BRONX"
"Jai Maa Inc","-73.967438","40.803459","2817 Broadway","","New York","NY","10025","2237","NEW YORK"
"7-Eleven #26784D","-73.781334","41.275208","1949 Commerce St","","Yorktown Heights","NY","10598","4409","WESTCHESTER"
"Jinal USA LLC","-74.23716","40.537617","4278 Arthur Kill Rd","","Staten Island","NY","10309","","RICHMOND"
"HIM Health Food Market","-73.854767","40.897747","4374 White Plains Rd","","Bronx","NY","10466","1413","BRONX"
"Daffodil International Inc","-73.92749","40.755547","3317 36th Ave","","Astoria","NY","11106","1941","QUEENS"
"Sea Breeze Fish & Seafood of S I Inc.","-73.85553","40.84837","1018B Morris Park Ave","","Bronx","NY","10462","3169","BRONX"
"Las Palmas Bakery LLC","-73.904022","40.858303","2269 Jerome Ave","","Bronx","NY","10453","1805","BRONX"
